Order ID,Date,Category,Product,Region,Sales Rep,Units,Unit Price,Revenue,Cost,Profit,Customer
1014,2024-01-02,Food & Beverage,Premium Tea Set,East,Bob Smith,4,24.47,97.88,47.27,50.61,FitLife
1098,2024-01-15,Clothing,Denim Jeans,South,Bob Smith,15,72.66,1089.9,489.71,600.19,SportZone
1021,2024-01-17,Electronics,Laptop Pro,East,Alice Johnson,23,1317.03,30291.69,17682.37,12609.32,FitLife
1039,2024-01-21,Clothing,Hoodie,East,Bob Smith,5,52.47,262.35,116.46,145.89,SmartHome Inc
1012,2024-01-25,Food & Beverage,Protein Powder,North,Bob Smith,5,55.04,275.2,131.97,143.23,SoundWorld
1115,2024-01-26,Home & Garden,Air Purifier,West,Carol White,1,201.31,201.31,106.63,94.68,SmartHome Inc
1097,2024-01-27,Food & Beverage,Snack Box,South,Carol White,25,29.99,749.75,372.7,377.05,FitLife
1043,2024-02-05,Clothing,Winter Jacket,East,Carol White,22,87.23,1919.06,848.75,1070.31,FitLife
1089,2024-02-06,Clothing,Formal Suit,North,Bob Smith,5,312.24,1561.2,725.49,835.71,SportZone
1032,2024-02-07,Home & Garden,Robot Vacuum,North,David Lee,22,456.54,10043.88,5200.48,4843.4,FashionHub
1025,2024-02-08,Home & Garden,Robot Vacuum,West,Alice Johnson,14,435.75,6100.5,3160.4,2940.1,TechCorp
1064,2024-02-11,Home & Garden,Air Purifier,West,Alice Johnson,25,209.01,5225.25,2695.82,2529.43,FitLife
1072,2024-02-14,Home & Garden,Coffee Table,East,David Lee,9,245.55,2209.95,1119.93,1090.02,SmartHome Inc
1117,2024-02-16,Food & Beverage,Vitamin Bundle,East,Carol White,2,50.39,100.78,51.56,49.22,WearTech
1004,2024-02-19,Clothing,Running Shoes,East,Carol White,25,78.68,1967.0,849.1,1117.9,SportZone
1105,2024-02-21,Home & Garden,Smart Thermostat,West,Alice Johnson,5,250.05,1250.25,655.99,594.26,FitLife
1001,2024-02-22,Electronics,Laptop Pro,North,David Lee,24,1270.74,30497.76,17792.17,12705.59,TechCorp
1053,2024-02-24,Home & Garden,Robot Vacuum,West,Bob Smith,5,457.01,2285.05,1129.47,1155.58,SoundWorld
1024,2024-02-25,Electronics,Laptop Pro,South,Bob Smith,13,1329.66,17285.58,10683.1,6602.48,SmartHome Inc
1067,2024-02-28,Food & Beverage,Premium Tea Set,South,Carol White,6,25.25,151.5,79.26,72.24,FashionHub
1099,2024-02-28,Electronics,Gaming Console,West,Alice Johnson,14,479.65,6715.1,4227.39,2487.71,SoundWorld
1030,2024-03-02,Electronics,Gaming Console,South,Alice Johnson,3,508.75,1526.25,891.5,634.75,FashionHub
1069,2024-03-02,Electronics,"Smart TV 55""",North,Carol White,25,784.12,19603.0,11978.52,7624.48,FitLife
1047,2024-03-04,Electronics,"Smart TV 55""",East,Carol White,11,809.84,8908.24,5432.27,3475.97,WearTech
1101,2024-03-10,Clothing,Hoodie,North,Carol White,7,57.31,401.17,180.68,220.49,WearTech
1083,2024-03-18,Home & Garden,Standing Desk,South,Carol White,3,503.84,1511.52,800.65,710.87,FashionHub
1035,2024-03-20,Clothing,Denim Jeans,East,Carol White,4,72.72,290.88,134.07,156.81,SmartHome Inc
1106,2024-03-20,Home & Garden,Smart Thermostat,North,David Lee,24,241.09,5786.16,3120.41,2665.75,SportZone
1029,2024-03-21,Electronics,Gaming Console,North,Alice Johnson,16,500.13,8002.08,4970.6,3031.48,SoundWorld
1003,2024-03-22,Home & Garden,Coffee Table,West,Carol White,9,257.73,2319.57,1146.65,1172.92,SportZone
1094,2024-03-23,Home & Garden,Air Purifier,East,David Lee,14,196.66,2753.24,1456.04,1297.2,CleanHome
1008,2024-03-24,Electronics,Gaming Console,West,David Lee,21,483.55,10154.55,6232.33,3922.22,SportZone
1109,2024-03-26,Electronics,Bluetooth Speaker,East,Alice Johnson,21,102.03,2142.63,1234.22,908.41,TechCorp
1050,2024-03-27,Home & Garden,Robot Vacuum,North,Carol White,17,448.78,7629.26,4126.37,3502.89,FitLife
1051,2024-04-11,Food & Beverage,Organic Coffee Set,South,Alice Johnson,25,34.06,851.5,417.68,433.82,TechCorp
1031,2024-04-14,Home & Garden,Coffee Table,East,Bob Smith,19,250.56,4760.64,2583.15,2177.49,SportZone
1063,2024-04-18,Clothing,Hoodie,West,Carol White,6,52.52,315.12,140.09,175.03,CafeWorld
1009,2024-04-27,Clothing,Formal Suit,North,Carol White,11,310.28,3413.08,1578.28,1834.8,WearTech
1087,2024-04-28,Home & Garden,Standing Desk,East,Carol White,23,504.68,11607.64,5909.98,5697.66,CleanHome
1075,2024-05-03,Clothing,Winter Jacket,West,David Lee,8,91.97,735.76,330.71,405.05,CleanHome
1111,2024-05-03,Clothing,Winter Jacket,West,Bob Smith,20,93.33,1866.6,850.03,1016.57,SmartHome Inc
1110,2024-05-05,Food & Beverage,Organic Coffee Set,West,Bob Smith,10,34.49,344.9,171.25,173.65,SoundWorld
1082,2024-05-09,Home & Garden,Standing Desk,West,Alice Johnson,15,492.03,7380.45,4016.48,3363.97,FashionHub
1044,2024-05-13,Home & Garden,Coffee Table,South,Carol White,11,260.97,2870.67,1435.33,1435.34,TechCorp
1120,2024-05-15,Home & Garden,Coffee Table,North,David Lee,12,239.75,2877.0,1480.27,1396.73,CafeWorld
1108,2024-05-27,Electronics,Gaming Console,South,Alice Johnson,3,486.73,1460.19,892.27,567.92,WearTech
1006,2024-05-28,Clothing,Formal Suit,North,Bob Smith,3,286.37,859.11,376.08,483.03,FashionHub
1102,2024-06-01,Food & Beverage,Snack Box,West,Bob Smith,9,30.95,278.55,136.25,142.3,CleanHome
1076,2024-06-05,Electronics,Laptop Pro,East,David Lee,10,1263.8,12638.0,7728.23,4909.77,FitLife
1010,2024-06-10,Food & Beverage,Organic Coffee Set,South,David Lee,7,36.44,255.08,128.4,126.68,WearTech
1095,2024-06-10,Food & Beverage,Vitamin Bundle,East,Carol White,25,50.24,1256.0,625.16,630.84,FashionHub
1057,2024-06-12,Home & Garden,Smart Thermostat,North,Bob Smith,23,244.63,5626.49,2858.98,2767.51,SoundWorld
1107,2024-06-17,Food & Beverage,Snack Box,West,Carol White,23,29.68,682.64,327.0,355.64,CleanHome
1020,2024-06-22,Home & Garden,Coffee Table,North,Bob Smith,15,240.52,3607.8,1824.41,1783.39,SmartHome Inc
1033,2024-06-27,Electronics,Gaming Console,North,Bob Smith,7,500.28,3501.96,2023.95,1478.01,CafeWorld
1114,2024-07-02,Clothing,Hoodie,East,Carol White,16,52.83,845.28,375.86,469.42,TechCorp
1118,2024-07-06,Clothing,Running Shoes,East,Bob Smith,5,82.28,411.4,192.1,219.3,SportZone
